scenario,trial,sample_size,cgr,cgr_ciL,cgr_ciH,cgr_nsd,cgr_eqv,bbi_C,bbi_C_ciL,bbi_C_ciH,bbi_C_nsd,bbi_C_eqv,bbi_T,bbi_T_ciL,bbi_T_ciH,bbi_T_nsd,bbi_T_eqv,gmg,gmg_ciL,gmg_ciH,gmg_nsd,gmg_eqv,gmgc,gmgc_ciL,gmgc_ciH,gmgc_nsd,gmgc_eqv
diff_0mg,199,60,0.517,0.384,0.648,True,False,0.067,-0.29,0.424,True,False,0.0,-0.358,0.358,True,False,0.453,-3.629,4.535,True,True,0.453,-2.043,2.95,True,True
diff_0mg,199,80,0.5,0.386,0.614,True,True,0.0,-0.31,0.31,True,False,0.0,-0.31,0.31,True,False,0.5,-3.045,4.045,True,True,0.5,-1.689,2.689,True,True
diff_0mg,199,100,0.48,0.379,0.582,True,True,-0.08,-0.356,0.196,True,False,0.0,-0.277,0.277,True,False,-0.154,-3.191,2.883,True,True,-0.154,-2.122,1.814,True,True
diff_0mg,199,120,0.5,0.407,0.593,True,True,-0.033,-0.286,0.22,True,False,0.033,-0.22,0.286,True,False,0.027,-2.785,2.838,True,True,0.027,-1.749,1.802,True,True
diff_0mg,199,140,0.521,0.435,0.607,True,True,0.057,-0.177,0.291,True,False,0.029,-0.206,0.263,True,False,0.12,-2.38,2.62,True,True,0.12,-1.517,1.757,True,True
diff_0mg,199,160,0.531,0.451,0.61,True,True,0.1,-0.118,0.318,True,False,0.025,-0.194,0.244,True,False,0.126,-2.181,2.433,True,True,0.126,-1.413,1.665,True,True
diff_0mg,199,180,0.544,0.469,0.619,True,True,0.067,-0.139,0.273,True,False,0.111,-0.094,0.316,True,False,0.582,-1.603,2.768,True,True,0.582,-0.892,2.056,True,True
diff_0mg,199,200,0.545,0.473,0.615,True,True,0.06,-0.136,0.256,True,False,0.12,-0.075,0.315,True,False,0.734,-1.351,2.819,True,True,0.734,-0.659,2.127,True,True
diff_0mg,199,240,0.546,0.481,0.61,True,True,0.117,-0.061,0.294,True,False,0.067,-0.112,0.245,True,False,0.764,-1.151,2.68,True,True,0.764,-0.47,1.999,True,True
diff_0mg,199,280,0.539,0.479,0.599,True,True,0.086,-0.079,0.251,True,False,0.071,-0.094,0.237,True,False,0.732,-1.058,2.522,True,True,0.732,-0.427,1.891,True,True
diff_0mg,199,320,0.541,0.484,0.596,True,True,0.112,-0.041,0.266,True,False,0.05,-0.105,0.205,True,False,0.681,-1.0,2.362,True,True,0.681,-0.403,1.766,True,True
diff_0mg,199,360,0.55,0.497,0.602,True,True,0.122,-0.023,0.267,True,False,0.078,-0.068,0.223,True,False,0.617,-0.966,2.199,True,True,0.617,-0.41,1.644,True,True
diff_0mg,199,400,0.55,0.5,0.599,False,True,0.13,-0.007,0.267,True,False,0.07,-0.068,0.208,True,False,0.62,-0.862,2.102,True,True,0.62,-0.366,1.606,True,True
diff_0mg,198,60,0.483,0.352,0.616,True,False,-0.133,-0.488,0.221,True,False,0.067,-0.29,0.424,True,False,-0.557,-4.116,3.003,True,True,-0.557,-3.121,2.008,True,True
diff_0mg,198,80,0.538,0.422,0.65,True,False,-0.05,-0.36,0.26,True,False,0.2,-0.104,0.504,True,False,0.91,-2.194,4.014,True,True,0.91,-1.424,3.244,True,True
diff_0mg,198,100,0.56,0.457,0.659,True,False,0.0,-0.277,0.277,True,False,0.24,-0.029,0.509,True,False,2.036,-0.947,5.019,True,False,2.036,-0.027,4.099,True,True
diff_0mg,198,120,0.583,0.49,0.673,True,False,0.033,-0.22,0.286,True,False,0.3,0.059,0.541,False,False,2.633,-0.094,5.36,True,False,2.633,0.802,4.464,False,True
diff_0mg,198,140,0.579,0.492,0.661,True,False,0.086,-0.148,0.319,True,False,0.229,0.001,0.457,False,False,2.579,0.071,5.087,False,False,2.579,0.905,4.252,False,True
diff_0mg,198,160,0.562,0.482,0.641,True,False,0.025,-0.194,0.244,True,False,0.225,0.011,0.439,False,False,2.369,-0.039,4.777,True,True,2.369,0.828,3.91,False,True
diff_0mg,198,180,0.556,0.48,0.629,True,True,0.0,-0.207,0.207,True,False,0.222,0.021,0.424,False,False,2.284,-0.05,4.619,True,True,2.284,0.823,3.745,False,True
diff_0mg,198,200,0.555,0.483,0.625,True,True,0.0,-0.196,0.196,True,True,0.22,0.029,0.411,False,False,2.182,-0.018,4.382,True,True,2.182,0.793,3.571,False,True
diff_0mg,198,240,0.55,0.485,0.614,True,True,0.0,-0.179,0.179,True,True,0.2,0.025,0.375,False,False,1.627,-0.328,3.583,True,True,1.627,0.343,2.912,False,True
diff_0mg,198,280,0.536,0.475,0.595,True,True,0.014,-0.151,0.18,True,True,0.129,-0.036,0.293,True,False,1.214,-0.574,3.003,True,True,1.214,0.02,2.409,False,True
diff_0mg,198,320,0.528,0.472,0.584,True,True,0.038,-0.117,0.192,True,True,0.075,-0.08,0.23,True,False,1.351,-0.33,3.031,True,True,1.351,0.231,2.47,False,True
diff_0mg,198,360,0.517,0.464,0.569,True,True,0.0,-0.146,0.146,True,True,0.067,-0.079,0.212,True,False,0.836,-0.734,2.405,True,True,0.836,-0.21,1.882,True,True
diff_0mg,198,400,0.507,0.457,0.558,True,True,-0.03,-0.169,0.109,True,True,0.06,-0.078,0.198,True,True,0.51,-0.971,1.991,True,True,0.51,-0.489,1.509,True,True
diff_0mg,197,60,0.517,0.384,0.648,True,False,0.133,-0.221,0.488,True,False,-0.067,-0.424,0.29,True,False,1.313,-3.384,6.011,True,False,1.313,-1.272,3.899,True,True
diff_0mg,197,80,0.525,0.41,0.638,True,True,0.15,-0.156,0.456,True,False,-0.05,-0.36,0.26,True,False,0.103,-3.685,3.89,True,True,0.103,-2.112,2.317,True,True
diff_0mg,197,100,0.55,0.447,0.65,True,False,0.12,-0.155,0.395,True,False,0.08,-0.196,0.356,True,False,0.762,-2.547,4.071,True,True,0.762,-1.209,2.733,True,True
diff_0mg,197,120,0.525,0.432,0.617,True,True,0.033,-0.22,0.286,True,False,0.067,-0.186,0.319,True,False,0.775,-2.132,3.682,True,True,0.775,-1.043,2.593,True,True
diff_0mg,197,140,0.507,0.421,0.593,True,True,0.0,-0.234,0.234,True,False,0.029,-0.206,0.263,True,False,0.799,-1.877,3.474,True,True,0.799,-0.875,2.472,True,True
diff_0mg,197,160,0.494,0.414,0.574,True,True,-0.025,-0.244,0.194,True,False,0.0,-0.219,0.219,True,False,0.951,-1.531,3.433,True,True,0.951,-0.615,2.517,True,True
diff_0mg,197,180,0.478,0.403,0.553,True,True,-0.022,-0.229,0.184,True,False,-0.067,-0.273,0.139,True,False,0.451,-1.897,2.799,True,True,0.451,-1.011,1.913,True,True
diff_0mg,197,200,0.48,0.409,0.552,True,True,0.0,-0.196,0.196,True,True,-0.08,-0.275,0.115,True,False,0.267,-1.929,2.463,True,True,0.267,-1.124,1.658,True,True
diff_0mg,197,240,0.462,0.398,0.528,True,True,0.017,-0.162,0.196,True,True,-0.167,-0.343,0.01,True,False,-0.167,-2.166,1.831,True,True,-0.167,-1.425,1.09,True,True
diff_0mg,197,280,0.471,0.412,0.532,True,True,0.014,-0.151,0.18,True,True,-0.129,-0.293,0.036,True,False,-0.279,-2.075,1.516,True,True,-0.279,-1.447,0.889,True,True
diff_0mg,197,320,0.472,0.416,0.528,True,True,0.0,-0.155,0.155,True,True,-0.112,-0.266,0.041,True,False,-0.414,-2.088,1.261,True,True,-0.414,-1.514,0.687,True,True
diff_0mg,197,360,0.475,0.422,0.528,True,True,0.011,-0.135,0.157,True,True,-0.111,-0.256,0.034,True,False,-0.381,-1.97,1.207,True,True,-0.381,-1.416,0.654,True,True
diff_0mg,197,400,0.482,0.433,0.533,True,True,0.01,-0.129,0.149,True,True,-0.08,-0.218,0.058,True,False,-0.143,-1.659,1.372,True,True,-0.143,-1.134,0.847,True,True
diff_0mg,196,60,0.467,0.337,0.6,True,False,0.133,-0.221,0.488,True,False,-0.267,-0.612,0.078,True,False,-1.347,-5.063,2.37,True,False,-1.347,-3.878,1.185,True,True
diff_0mg,196,80,0.475,0.362,0.59,True,True,0.1,-0.208,0.408,True,False,-0.2,-0.504,0.104,True,False,-0.845,-3.98,2.29,True,True,-0.845,-3.073,1.383,True,True
diff_0mg,196,100,0.47,0.369,0.572,True,True,0.0,-0.277,0.277,True,False,-0.12,-0.395,0.155,True,False,-0.456,-3.358,2.446,True,True,-0.456,-2.446,1.534,True,True
diff_0mg,196,120,0.458,0.367,0.552,True,True,-0.033,-0.286,0.22,True,False,-0.133,-0.384,0.117,True,False,-0.21,-2.757,2.337,True,True,-0.21,-2.032,1.612,True,True
diff_0mg,196,140,0.464,0.38,0.55,True,True,0.0,-0.234,0.234,True,False,-0.143,-0.375,0.089,True,False,-0.516,-2.838,1.806,True,True,-0.516,-2.18,1.148,True,True
diff_0mg,196,160,0.431,0.353,0.512,True,False,-0.05,-0.269,0.169,True,False,-0.225,-0.439,-0.011,False,False,-1.508,-3.673,0.658,True,True,-1.508,-3.09,0.075,True,True
diff_0mg,196,180,0.456,0.381,0.531,True,True,-0.044,-0.251,0.162,True,False,-0.133,-0.338,0.071,True,False,-1.167,-3.242,0.909,True,True,-1.167,-2.654,0.321,True,True
diff_0mg,196,200,0.445,0.375,0.517,True,True,-0.08,-0.275,0.115,True,False,-0.14,-0.334,0.054,True,False,-1.392,-3.31,0.526,True,True,-1.392,-2.798,0.014,True,True
diff_0mg,196,240,0.454,0.39,0.519,True,True,-0.067,-0.245,0.112,True,False,-0.117,-0.294,0.061,True,False,-1.376,-3.138,0.387,True,True,-1.376,-2.628,-0.124,False,True
diff_0mg,196,280,0.45,0.391,0.51,True,True,-0.086,-0.251,0.079,True,False,-0.114,-0.279,0.05,True,False,-1.416,-3.104,0.271,True,True,-1.416,-2.562,-0.271,False,True
diff_0mg,196,320,0.444,0.388,0.5,False,True,-0.112,-0.266,0.041,True,False,-0.112,-0.266,0.041,True,False,-1.537,-3.124,0.05,True,True,-1.537,-2.614,-0.46,False,True
diff_0mg,196,360,0.45,0.398,0.503,True,True,-0.122,-0.267,0.023,True,False,-0.078,-0.223,0.068,True,False,-1.264,-2.754,0.225,True,True,-1.264,-2.281,-0.248,False,True
diff_0mg,196,400,0.458,0.408,0.508,True,True,-0.1,-0.238,0.038,True,False,-0.07,-0.208,0.068,True,False,-0.963,-2.389,0.463,True,True,-0.963,-1.92,-0.006,False,True
diff_0mg,195,60,0.417,0.291,0.551,True,False,-0.133,-0.488,0.221,True,False,-0.2,-0.551,0.151,True,False,-3.117,-7.188,0.955,True,False,-3.117,-5.546,-0.688,False,False
diff_0mg,195,80,0.412,0.304,0.528,True,False,-0.15,-0.456,0.156,True,False,-0.2,-0.504,0.104,True,False,-2.508,-5.999,0.984,True,False,-2.508,-4.671,-0.344,False,True
diff_0mg,195,100,0.43,0.331,0.533,True,False,-0.12,-0.395,0.155,True,False,-0.16,-0.434,0.114,True,False,-1.714,-4.748,1.32,True,True,-1.714,-3.72,0.292,True,True
diff_0mg,195,120,0.433,0.343,0.527,True,False,-0.167,-0.416,0.083,True,False,-0.1,-0.352,0.152,True,False,-2.01,-4.801,0.781,True,True,-2.01,-3.877,-0.143,False,True
diff_0mg,195,140,0.414,0.332,0.501,True,False,-0.2,-0.43,0.03,True,False,-0.143,-0.375,0.089,True,False,-2.744,-5.392,-0.096,False,False,-2.744,-4.471,-1.017,False,True
diff_0mg,195,160,0.431,0.353,0.512,True,False,-0.1,-0.318,0.118,True,False,-0.175,-0.391,0.041,True,False,-2.217,-4.675,0.24,True,True,-2.217,-3.826,-0.609,False,True
diff_0mg,195,180,0.433,0.36,0.509,True,False,-0.089,-0.295,0.117,True,False,-0.178,-0.381,0.026,True,False,-1.971,-4.317,0.375,True,True,-1.971,-3.473,-0.47,False,True
diff_0mg,195,200,0.45,0.38,0.522,True,True,-0.08,-0.275,0.115,True,False,-0.12,-0.315,0.075,True,False,-1.45,-3.688,0.788,True,True,-1.45,-2.859,-0.041,False,True
diff_0mg,195,240,0.458,0.394,0.524,True,True,-0.083,-0.262,0.095,True,False,-0.083,-0.262,0.095,True,False,-1.438,-3.526,0.649,True,True,-1.438,-2.724,-0.153,False,True
diff_0mg,195,280,0.454,0.394,0.514,True,True,-0.086,-0.251,0.079,True,False,-0.1,-0.265,0.065,True,False,-1.719,-3.618,0.18,True,True,-1.719,-2.907,-0.532,False,True
diff_0mg,195,320,0.453,0.398,0.509,True,True,-0.1,-0.254,0.054,True,False,-0.088,-0.242,0.067,True,False,-1.816,-3.581,-0.052,False,True,-1.816,-2.926,-0.707,False,True
diff_0mg,195,360,0.461,0.409,0.514,True,True,-0.078,-0.223,0.068,True,False,-0.078,-0.223,0.068,True,False,-1.527,-3.184,0.13,True,True,-1.527,-2.569,-0.485,False,True
diff_0mg,195,400,0.47,0.42,0.52,True,True,-0.03,-0.169,0.109,True,True,-0.09,-0.228,0.048,True,False,-1.319,-2.869,0.23,True,True,-1.319,-2.302,-0.337,False,True
diff_0mg,194,60,0.55,0.416,0.679,True,False,-0.133,-0.488,0.221,True,False,0.333,-0.004,0.671,True,False,2.007,-1.707,5.72,True,False,2.007,-0.626,4.64,True,True
diff_0mg,194,80,0.55,0.435,0.662,True,False,-0.05,-0.36,0.26,True,False,0.25,-0.05,0.55,True,False,1.895,-1.259,5.049,True,False,1.895,-0.335,4.125,True,True
diff_0mg,194,100,0.54,0.437,0.64,True,False,-0.12,-0.395,0.155,True,False,0.28,0.014,0.546,False,False,1.218,-1.802,4.238,True,True,1.218,-0.748,3.184,True,True
diff_0mg,194,120,0.533,0.44,0.625,True,True,-0.1,-0.352,0.152,True,False,0.233,-0.013,0.479,True,False,1.558,-1.213,4.329,True,True,1.558,-0.269,3.385,True,True
diff_0mg,194,140,0.521,0.435,0.607,True,True,-0.057,-0.291,0.177,True,False,0.143,-0.089,0.375,True,False,1.62,-1.013,4.253,True,True,1.62,-0.068,3.308,True,True
diff_0mg,194,160,0.531,0.451,0.61,True,True,-0.075,-0.294,0.144,True,False,0.2,-0.015,0.415,True,False,1.817,-0.591,4.226,True,True,1.817,0.26,3.375,False,True
diff_0mg,194,180,0.533,0.458,0.608,True,True,-0.089,-0.295,0.117,True,False,0.222,0.021,0.424,False,False,1.853,-0.39,4.097,True,True,1.853,0.396,3.31,False,True
diff_0mg,194,200,0.51,0.439,0.581,True,True,-0.1,-0.295,0.095,True,False,0.14,-0.054,0.334,True,False,1.076,-1.09,3.242,True,True,1.076,-0.288,2.44,True,True
diff_0mg,194,240,0.492,0.427,0.557,True,True,-0.117,-0.294,0.061,True,False,0.083,-0.095,0.262,True,False,0.443,-1.517,2.402,True,True,0.443,-0.797,1.682,True,True
diff_0mg,194,280,0.511,0.451,0.571,True,True,-0.071,-0.237,0.094,True,False,0.114,-0.05,0.279,True,False,0.609,-1.14,2.359,True,True,0.609,-0.535,1.753,True,True
diff_0mg,194,320,0.512,0.456,0.568,True,True,-0.062,-0.217,0.092,True,False,0.112,-0.041,0.266,True,False,0.454,-1.156,2.063,True,True,0.454,-0.608,1.516,True,True
diff_0mg,194,360,0.506,0.453,0.558,True,True,-0.067,-0.212,0.079,True,False,0.089,-0.057,0.234,True,False,0.369,-1.165,1.903,True,True,0.369,-0.625,1.363,True,True
diff_0mg,194,400,0.502,0.452,0.553,True,True,-0.06,-0.198,0.078,True,True,0.07,-0.068,0.208,True,False,0.611,-0.843,2.065,True,True,0.611,-0.337,1.559,True,True
diff_0mg,193,60,0.4,0.276,0.535,True,False,-0.133,-0.488,0.221,True,False,-0.267,-0.612,0.078,True,False,-3.04,-7.108,1.028,True,False,-3.04,-5.32,-0.76,False,False
diff_0mg,193,80,0.45,0.338,0.565,True,False,-0.05,-0.36,0.26,True,False,-0.15,-0.456,0.156,True,False,-1.342,-5.06,2.375,True,False,-1.342,-3.329,0.644,True,True
diff_0mg,193,100,0.48,0.379,0.582,True,True,-0.08,-0.356,0.196,True,False,0.0,-0.277,0.277,True,False,0.294,-3.117,3.705,True,True,0.294,-1.563,2.151,True,True
diff_0mg,193,120,0.483,0.391,0.576,True,True,-0.067,-0.319,0.186,True,False,0.0,-0.253,0.253,True,False,0.582,-2.435,3.599,True,True,0.582,-1.102,2.266,True,True
diff_0mg,193,140,0.457,0.373,0.543,True,True,-0.086,-0.319,0.148,True,False,-0.086,-0.319,0.148,True,False,0.044,-2.639,2.727,True,True,0.044,-1.516,1.604,True,True
diff_0mg,193,160,0.444,0.365,0.524,True,True,-0.075,-0.294,0.144,True,False,-0.15,-0.367,0.067,True,False,-0.479,-3.021,2.064,True,True,-0.479,-1.949,0.991,True,True
diff_0mg,193,180,0.472,0.398,0.548,True,True,-0.067,-0.273,0.139,True,False,-0.044,-0.251,0.162,True,False,0.147,-2.289,2.582,True,True,0.147,-1.248,1.541,True,True
diff_0mg,193,200,0.465,0.394,0.537,True,True,-0.08,-0.275,0.115,True,False,-0.06,-0.256,0.136,True,False,0.053,-2.203,2.309,True,True,0.053,-1.299,1.405,True,True
diff_0mg,193,240,0.475,0.41,0.54,True,True,-0.017,-0.196,0.162,True,True,-0.083,-0.262,0.095,True,False,0.346,-1.716,2.408,True,True,0.346,-0.915,1.606,True,True
diff_0mg,193,280,0.479,0.419,0.539,True,True,-0.014,-0.18,0.151,True,True,-0.071,-0.237,0.094,True,False,0.309,-1.589,2.208,True,True,0.309,-0.842,1.461,True,True
diff_0mg,193,320,0.466,0.41,0.522,True,True,-0.05,-0.205,0.105,True,False,-0.088,-0.242,0.067,True,False,0.026,-1.708,1.76,True,True,0.026,-1.034,1.085,True,True
diff_0mg,193,360,0.461,0.409,0.514,True,True,-0.067,-0.212,0.079,True,False,-0.089,-0.234,0.057,True,False,-0.431,-2.039,1.177,True,True,-0.431,-1.443,0.581,True,True
diff_0mg,193,400,0.46,0.41,0.51,True,True,-0.07,-0.208,0.068,True,False,-0.09,-0.228,0.048,True,False,-0.453,-1.977,1.071,True,True,-0.453,-1.42,0.514,True,True
diff_0mg,192,60,0.45,0.321,0.584,True,False,-0.333,-0.671,0.004,True,False,0.133,-0.221,0.488,True,False,-1.96,-5.747,1.827,True,False,-1.96,-4.399,0.479,True,True
diff_0mg,192,80,0.438,0.327,0.553,True,False,-0.35,-0.64,-0.06,False,False,0.1,-0.208,0.408,True,False,-1.517,-4.866,1.831,True,True,-1.517,-3.697,0.662,True,True
diff_0mg,192,100,0.4,0.303,0.503,True,False,-0.4,-0.654,-0.146,False,False,0.0,-0.277,0.277,True,False,-2.436,-5.35,0.478,True,False,-2.436,-4.37,-0.502,False,True
diff_0mg,192,120,0.433,0.343,0.527,True,False,-0.3,-0.541,-0.059,False,False,0.033,-0.22,0.286,True,False,-1.312,-4.014,1.39,True,True,-1.312,-3.064,0.44,True,True
diff_0mg,192,140,0.414,0.332,0.501,True,False,-0.314,-0.537,-0.092,False,False,-0.029,-0.263,0.206,True,False,-1.494,-3.948,0.959,True,True,-1.494,-3.121,0.133,True,True
diff_0mg,192,160,0.425,0.347,0.506,True,False,-0.3,-0.509,-0.091,False,False,0.0,-0.219,0.219,True,False,-1.281,-3.58,1.017,True,True,-1.281,-2.828,0.266,True,True
diff_0mg,192,180,0.433,0.36,0.509,True,False,-0.289,-0.487,-0.091,False,False,0.022,-0.184,0.229,True,False,-1.289,-3.397,0.819,True,True,-1.289,-2.744,0.166,True,True
diff_0mg,192,200,0.455,0.385,0.527,True,True,-0.22,-0.411,-0.029,False,False,0.04,-0.156,0.236,True,False,-0.573,-2.606,1.46,True,True,-0.573,-1.952,0.806,True,True
diff_0mg,192,240,0.467,0.402,0.532,True,True,-0.167,-0.343,0.01,True,False,0.033,-0.145,0.212,True,False,-0.367,-2.234,1.499,True,True,-0.367,-1.636,0.901,True,True
diff_0mg,192,280,0.468,0.408,0.528,True,True,-0.157,-0.321,0.006,True,False,0.029,-0.137,0.194,True,True,-0.339,-2.073,1.394,True,True,-0.339,-1.526,0.847,True,True
diff_0mg,192,320,0.481,0.425,0.538,True,True,-0.1,-0.254,0.054,True,False,0.025,-0.13,0.18,True,True,-0.248,-1.893,1.396,True,True,-0.248,-1.364,0.867,True,True
diff_0mg,192,360,0.481,0.428,0.534,True,True,-0.1,-0.245,0.045,True,False,0.022,-0.124,0.168,True,True,-0.297,-1.842,1.248,True,True,-0.297,-1.344,0.75,True,True
diff_0mg,192,400,0.472,0.423,0.523,True,True,-0.11,-0.248,0.028,True,False,0.0,-0.139,0.139,True,True,-0.682,-2.172,0.808,True,True,-0.682,-1.67,0.306,True,True
diff_0mg,191,60,0.467,0.337,0.6,True,False,0.0,-0.358,0.358,True,False,-0.133,-0.488,0.221,True,False,-1.657,-5.354,2.04,True,False,-1.657,-4.086,0.772,True,True
diff_0mg,191,80,0.462,0.35,0.578,True,False,-0.05,-0.36,0.26,True,False,-0.1,-0.408,0.208,True,False,-2.145,-5.623,1.333,True,False,-2.145,-4.218,-0.072,False,True
diff_0mg,191,100,0.48,0.379,0.582,True,True,-0.12,-0.395,0.155,True,False,0.04,-0.237,0.317,True,False,-1.54,-4.734,1.654,True,True,-1.54,-3.365,0.285,True,True
diff_0mg,191,120,0.45,0.359,0.543,True,False,-0.167,-0.416,0.083,True,False,-0.033,-0.286,0.22,True,False,-1.968,-4.967,1.031,True,True,-1.968,-3.592,-0.345,False,True
diff_0mg,191,140,0.479,0.393,0.565,True,True,-0.086,-0.319,0.148,True,False,0.0,-0.234,0.234,True,False,-1.654,-4.386,1.077,True,True,-1.654,-3.189,-0.119,False,True
diff_0mg,191,160,0.488,0.408,0.568,True,True,-0.05,-0.269,0.169,True,False,0.0,-0.219,0.219,True,False,-1.557,-4.074,0.959,True,True,-1.557,-3.034,-0.081,False,True
diff_0mg,191,180,0.478,0.403,0.553,True,True,-0.044,-0.251,0.162,True,False,-0.044,-0.251,0.162,True,False,-1.674,-4.062,0.714,True,True,-1.674,-3.09,-0.259,False,True
diff_0mg,191,200,0.485,0.414,0.557,True,True,0.02,-0.176,0.216,True,False,-0.08,-0.275,0.115,True,False,-1.449,-3.677,0.779,True,True,-1.449,-2.808,-0.09,False,True
diff_0mg,191,240,0.5,0.435,0.565,True,True,0.017,-0.162,0.196,True,True,-0.017,-0.196,0.162,True,True,-0.939,-2.923,1.045,True,True,-0.939,-2.193,0.314,True,True
diff_0mg,191,280,0.493,0.433,0.553,True,True,-0.029,-0.194,0.137,True,True,0.0,-0.166,0.166,True,True,-1.095,-2.896,0.706,True,True,-1.095,-2.245,0.055,True,True
diff_0mg,191,320,0.503,0.447,0.559,True,True,-0.012,-0.167,0.142,True,True,0.025,-0.13,0.18,True,True,-1.123,-2.825,0.579,True,True,-1.123,-2.199,-0.047,False,True
diff_0mg,191,360,0.506,0.453,0.558,True,True,-0.011,-0.157,0.135,True,True,0.033,-0.113,0.179,True,True,-0.928,-2.526,0.67,True,True,-0.928,-1.944,0.088,True,True
diff_0mg,191,400,0.502,0.452,0.553,True,True,-0.01,-0.149,0.129,True,True,0.02,-0.119,0.159,True,True,-0.828,-2.337,0.68,True,True,-0.828,-1.793,0.136,True,True
diff_0mg,190,60,0.517,0.384,0.648,True,False,0.133,-0.221,0.488,True,False,-0.067,-0.424,0.29,True,False,1.977,-1.943,5.896,True,False,1.977,-0.697,4.651,True,True
diff_0mg,190,80,0.488,0.374,0.602,True,True,0.05,-0.26,0.36,True,False,-0.1,-0.408,0.208,True,False,1.12,-2.268,4.508,True,True,1.12,-1.142,3.382,True,True
diff_0mg,190,100,0.5,0.398,0.602,True,True,0.08,-0.196,0.356,True,False,-0.08,-0.356,0.196,True,False,1.35,-1.742,4.442,True,True,1.35,-0.693,3.393,True,True
diff_0mg,190,120,0.492,0.399,0.584,True,True,0.033,-0.22,0.286,True,False,-0.067,-0.319,0.186,True,False,-0.117,-3.125,2.892,True,True,-0.117,-1.956,1.723,True,True
diff_0mg,190,140,0.5,0.414,0.586,True,True,0.029,-0.206,0.263,True,False,-0.029,-0.263,0.206,True,False,0.254,-2.48,2.988,True,True,0.254,-1.439,1.948,True,True
diff_0mg,190,160,0.519,0.438,0.598,True,True,0.075,-0.144,0.294,True,False,0.0,-0.219,0.219,True,False,0.56,-1.907,3.027,True,True,0.56,-1.027,2.147,True,True
diff_0mg,190,180,0.533,0.458,0.608,True,True,0.089,-0.117,0.295,True,False,0.044,-0.162,0.251,True,False,0.578,-1.687,2.843,True,True,0.578,-0.888,2.044,True,True
diff_0mg,190,200,0.53,0.458,0.601,True,True,0.08,-0.115,0.275,True,False,0.04,-0.156,0.236,True,False,0.258,-1.884,2.4,True,True,0.258,-1.114,1.63,True,True
diff_0mg,190,240,0.533,0.468,0.598,True,True,0.083,-0.095,0.262,True,False,0.05,-0.129,0.229,True,False,0.267,-1.63,2.163,True,True,0.267,-1.003,1.537,True,True
diff_0mg,190,280,0.532,0.472,0.592,True,True,0.057,-0.108,0.223,True,False,0.071,-0.094,0.237,True,False,0.219,-1.537,1.974,True,True,0.219,-0.967,1.405,True,True
diff_0mg,190,320,0.522,0.466,0.578,True,True,0.038,-0.117,0.192,True,True,0.05,-0.105,0.205,True,False,-0.079,-1.721,1.563,True,True,-0.079,-1.186,1.028,True,True
diff_0mg,190,360,0.522,0.469,0.575,True,True,0.033,-0.113,0.179,True,True,0.056,-0.09,0.201,True,False,0.161,-1.37,1.691,True,True,0.161,-0.885,1.206,True,True
diff_0mg,190,400,0.528,0.477,0.577,True,True,0.04,-0.098,0.178,True,True,0.07,-0.068,0.208,True,False,0.516,-0.94,1.972,True,True,0.516,-0.478,1.51,True,True
diff_0mg,189,60,0.517,0.384,0.648,True,False,-0.333,-0.671,0.004,True,False,0.4,0.072,0.728,False,False,1.91,-2.107,5.927,True,False,1.91,-0.7,4.52,True,True
diff_0mg,189,80,0.488,0.374,0.602,True,True,-0.3,-0.596,-0.004,False,False,0.25,-0.05,0.55,True,False,1.01,-2.409,4.429,True,True,1.01,-1.233,3.253,True,True
diff_0mg,189,100,0.54,0.437,0.64,True,False,-0.08,-0.356,0.196,True,False,0.24,-0.029,0.509,True,False,2.452,-0.593,5.497,True,False,2.452,0.434,4.47,False,True
diff_0mg,189,120,0.567,0.473,0.657,True,False,-0.067,-0.319,0.186,True,False,0.333,0.095,0.572,False,False,2.78,0.024,5.536,False,False,2.78,0.961,4.599,False,True
diff_0mg,189,140,0.571,0.485,0.655,True,False,-0.029,-0.263,0.206,True,False,0.314,0.092,0.537,False,False,2.791,0.278,5.304,False,False,2.791,1.131,4.452,False,True
diff_0mg,189,160,0.562,0.482,0.641,True,False,-0.025,-0.244,0.194,True,False,0.275,0.064,0.486,False,False,2.906,0.542,5.271,False,False,2.906,1.366,4.447,False,True
diff_0mg,189,180,0.556,0.48,0.629,True,True,-0.044,-0.251,0.162,True,False,0.267,0.068,0.466,False,False,2.394,0.205,4.584,False,True,2.394,0.935,3.854,False,True
diff_0mg,189,200,0.555,0.483,0.625,True,True,-0.02,-0.216,0.176,True,False,0.24,0.05,0.43,False,False,2.18,0.132,4.228,False,True,2.18,0.775,3.585,False,True
diff_0mg,189,240,0.558,0.493,0.622,True,True,0.05,-0.129,0.229,True,False,0.183,0.007,0.359,False,False,2.202,0.362,4.042,False,True,2.202,0.932,3.471,False,True
diff_0mg,189,280,0.532,0.472,0.592,True,True,0.029,-0.137,0.194,True,True,0.1,-0.065,0.265,True,False,1.299,-0.48,3.077,True,True,1.299,0.12,2.477,False,True
diff_0mg,189,320,0.528,0.472,0.584,True,True,0.05,-0.105,0.205,True,False,0.062,-0.092,0.217,True,False,1.042,-0.61,2.694,True,True,1.042,-0.05,2.133,True,True
diff_0mg,189,360,0.533,0.48,0.586,True,True,0.067,-0.079,0.212,True,False,0.067,-0.079,0.212,True,False,0.88,-0.696,2.456,True,True,0.88,-0.162,1.922,True,True
